R1,R2
1.371321295,1.470113337
1.456468849,1.5567212
1.490216938,1.701384788
1.754081923,2.012844413
1.767520416,1.919314943
1.466701251,1.602899367
1.566836774,1.756146871
1.322731435,1.418068429
1.425215994,1.457390748
1.473677113,1.720561756
1.422818775,1.507339666
1.459098813,1.838835929
1.633996798,1.748272505
1.472659354,1.680002461
1.471119561,1.490006064
1.606595496,1.744266357
1.317319505,1.530717406
1.449308148,1.54974675
1.565215178,1.592459441
1.647416861,1.824747798
1.479480785,1.89619936
1.361467275,1.482208853
1.628193357,1.75878896
1.545882775,1.801155226
1.412942266,1.69561037
1.563562615,1.715718402
1.546169041,1.758136588
1.556159183,1.684435418
1.581705021,1.703475197
1.593390638,1.636533986
1.391829406,1.518587665
1.588973143,1.6886062
1.450633204,1.58850301
1.437615981,1.610860594
1.546839211,1.757984955
1.532139408,1.66738498
1.672966599,1.847496837
1.528760856,1.706020131
1.373142714,1.610707393
1.381615717,1.455734127
1.67548676,1.770915066
1.205212422,1.525060909
1.550042332,1.793602921
1.485085426,1.616186927
1.440713432,1.596089261
1.620154368,1.767305337
1.404547273,1.483811762
1.506913442,1.564614739
1.726070388,2.033105663
1.468118692,1.658093284
1.357653542,1.44412344
1.525269753,1.738297714
1.607270699,1.671888204
1.288886123,1.42770286
1.317253373,1.61795337
1.703640146,1.884224412
1.555551399,1.743056499
1.551796876,1.770534012
1.586103247,1.638612731
1.641355939,1.686974662
1.691567044,2.014673043
1.40068044,1.59376834
1.730766143,1.956633128
1.623186925,1.668254313
1.358783294,1.486230478
1.394550978,1.725226201
1.326354291,1.585870674
1.58913571,1.679069994
1.29710863,1.389431137
1.558890645,1.660203588
1.488665935,1.699596191
1.496151678,1.651834193
1.284428245,1.451507791
1.410779002,1.549076018
1.518078633,1.682301222
1.454699368,1.629402855
1.626158996,1.63038772
1.391238671,1.609868891
1.538484762,1.830046965
1.55203536,1.677963309
1.379744454,1.610461334
1.377775009,1.661062076
1.45487049,1.650345035
1.322921705,1.470466377
1.475375264,1.717716023
