R1,R2
1.251099097,1.437966667
1.348435867,1.344467854
1.201579118,1.350415379
1.122064868,1.237770059
1.284722789,1.645079343
1.44127322,1.681590468
1.09688378,1.255094547
1.236740736,1.557259976
1.281000914,1.477812248
1.180323382,1.378122124
1.081622281,1.334569889
1.3502721,1.591126663
1.294927279,1.503074879
1.375116206,1.651289575
1.272895438,1.498201003
1.280448567,1.510539766
1.546129222,1.908351293
1.217647959,1.556549888
1.129338536,1.306896878
1.198905072,1.358237822
1.236808593,1.414934329
1.348902069,1.414737407
1.08294725,1.582234219
1.1673478,1.289751786
1.068817518,1.215511997
0.989810928,1.197769553
1.152508281,1.38828638
1.096570204,1.187128416
1.318053823,1.545838882
1.195952962,1.318989354
1.110895284,1.319612536
1.159935732,1.436616811
1.168816296,1.275005804
1.293996003,1.460307005
1.464358894,1.57575134
1.43993068,1.615574358
1.130750308,1.187022104
1.201243861,1.27263375
1.209115353,1.412051111
1.235225468,1.515870652
1.561068661,1.594028063
1.280501589,1.250148153
1.356917053,1.47403106
1.160684572,1.39143434
1.217477209,1.533374367
1.423677175,1.543660998
1.344777811,1.500637867
1.640401317,1.643871395
1.35754291,1.666257721
1.481361939,1.733296717
1.273037899,1.48567446
1.090441583,1.230210385
1.323185784,1.540046574
1.349259729,1.381930467
1.274950661,1.399448722
1.384821068,1.428844647
1.180980353,1.107344633
1.390192008,1.607774192
1.178874407,1.351753012
1.480517748,1.721886836
1.161964617,1.308781139
1.364637325,1.628566187
1.3317641,1.380948457
1.418569651,1.532624035
1.374974792,1.62223621
1.54818098,1.760674995
1.292606793,1.518217959
0.998851619,1.214485066
1.097478017,1.258473391
1.341129989,1.689302019
1.314514349,1.324729716
1.346041461,1.459701117
1.219419959,1.443431039
1.290963398,1.484529592
1.202170926,1.573308669
1.57354545,1.758939147
1.081978033,1.330671836
1.373426233,1.576141142
1.311467439,1.465371788
1.357851925,1.443119446
1.225024971,1.397845812
1.090886255,1.435787965
1.3334302,1.332744781
1.239707739,1.390295786
1.044337976,1.340453773
1.169510005,1.637468075
1.343312838,1.540261306
1.395552768,1.658733932
1.326056398,1.479910725
1.246712087,1.381783313
1.228672909,1.432726284
1.384183205,1.622289436
1.091396508,1.348054214
1.244696212,1.524126822
1.441098194,1.600743552
1.353822418,1.563202631
1.347677583,1.706514399
1.368975893,1.433788947
1.467479559,1.459123133
1.482477954,1.742866886
1.260802163,1.558147254
1.526794874,1.783311153
1.181243388,1.203509674
1.435576028,1.847158761
1.375607878,1.457681708
1.193991282,1.559173389
1.269010967,1.302712822
1.214345394,1.508381037
1.156277985,1.215933377
0.987555553,1.280005806
1.188155387,1.529877009
